id,selling_date,vehicle_type,transmission_type,fuel_type,repaired,seller,brand,odometer,horse_power,manufactured_date,price
1,2011-04-04 13:38:56,sedan,Automatic,gasoline,,397,bmw,"150,000km",286,1992,"96,600,000 Rwf"
2,2011-03-12 16:58:10,compact car,Automatic,gasoline,,240,smart,"70,000km",71,2002,"48,420,000 Rwf"
3,2011-04-01 14:38:50,station wagon,Manual,gasoline,,226,ford,"150,000km",0,1998,"12,420,000 Rwf"
4,2011-03-20 17:55:21,sedan,Manual,gasoline,,111,volkswagen,"150,000km",90,1990,"360,000 Rwf"
5,2011-03-16 18:55:19,sedan,Manual,diesel,,861,volkswagen,"150,000km",90,1993,"13,188,000 Rwf"
6,2011-03-23 10:48:32,sedan,Manual,gasoline,,543,audi,"150,000km",101,1994,"12,420,000 Rwf"
7,2011-03-16 14:59:02,station wagon,Manual,gasoline,,255,opel,"150,000km",101,1994,"420,000 Rwf"
8,2011-03-29 11:46:22,Other,Manual,gasoline,,809,volkswagen,"150,000km",205,1985,"60,600,000 Rwf"
9,2011-03-06 19:07:10,convertible,Manual,gasoline,,2,porsche,"150,000km",320,1999,"492,600,000 Rwf"
10,2011-03-28 20:50:54,convertible,Manual,gasoline,,806,mini,"10,000km",184,2010,"300,540,000 Rwf"
11,2011-03-10 19:55:34,van,Manual,diesel,,213,peugeot,"150,000km",120,2005,"85,198,800 Rwf"
12,2011-03-21 21:56:18,station wagon,Manual,gasoline,Yes,547,ford,"150,000km",116,1991,"108,000 Rwf"
13,2011-04-02 12:45:44,station wagon,Automatic,diesel,,886,mercedes_benz,"150,000km",204,1999,"49,198,800 Rwf"
14,2011-03-14 11:47:31,compact car,Manual,gasoline,Yes,275,peugeot,"150,000km",60,1997,"96,000 Rwf"
15,2011-03-14 16:53:09,station wagon,Automatic,gasoline,,223,mercedes_benz,"150,000km",218,1997,"25,020,000 Rwf"
16,2011-03-15 12:25:26,station wagon,Manual,diesel,,25,audi,"150,000km",140,2001,"48,960,000 Rwf"
17,2011-03-29 21:52:56,station wagon,Manual,gasoline,,70,ford,"150,000km",0,1993,"12,240,000 Rwf"
18,2011-03-11 13:58:38,station wagon,Automatic,gasoline,,802,mercedes_benz,"150,000km",122,1994,"12,540,000 Rwf"
19,2011-03-10 10:46:08,station wagon,Manual,,,544,volkswagen,"150,000km",131,1998,"36,240,000 Rwf"
20,2011-03-08 16:51:22,compact car,Manual,gasoline,,146,audi,"60,000km",86,2006,"132,600,000 Rwf"
21,2011-03-31 10:53:28,,Automatic,,,412,bmw,"150,000km",0,2000,"108,000,000 Rwf"
22,2011-03-28 19:51:51,sedan,Manual,gasoline,,222,mercedes_benz,"150,000km",95,2003,"36,598,800 Rwf"
23,2011-03-20 12:41:50,sedan,Manual,gasoline,,959,mercedes_benz,"150,000km",122,1993,"12,118,800 Rwf"
24,2011-03-25 18:50:03,sedan,,gasoline,,950,opel,"5,000km",0,1980,"36,600,000 Rwf"
25,2011-04-02 17:45:01,sedan,Manual,gasoline,,190,dacia,"30,000km",84,2007,"108,000,000 Rwf"
26,2011-03-07 02:47:54,,Automatic,gasoline,,368,mercedes_benz,"125,000km",224,2012,"1,200 Rwf"
27,2011-03-18 20:49:55,compact car,Manual,gasoline,,184,renault,"125,000km",58,1992,"780,000 Rwf"
28,2011-03-12 11:46:56,station wagon,Manual,diesel,,73,volkswagen,"150,000km",140,2002,"48,120,000 Rwf"
29,2011-03-12 17:41:11,van,Manual,gasoline,,899,volkswagen,"125,000km",116,2001,"72,360,000 Rwf"
30,2011-03-29 20:50:41,SUV,Manual,gasoline,,23,jeep,"150,000km",121,1987,"48,960,000 Rwf"
31,2011-03-09 20:18:38,sedan,Manual,gasoline,,289,bmw,"150,000km",170,1996,"48,840,000 Rwf"
32,2011-03-11 12:36:21,compact car,Manual,,,612,toyota,"60,000km",0,2004,"60,000,000 Rwf"
33,2011-03-29 23:37:22,,,,,246,bmw,"150,000km",0,1995,0 Rwf
34,2011-03-07 13:50:22,convertible,Automatic,diesel,,319,audi,"20,000km",150,2009,"409,080,000 Rwf"
35,2011-03-05 21:49:55,sedan,Manual,gasoline,,17,bmw,"125,000km",150,2001,"85,198,800 Rwf"
36,2011-03-25 19:47:32,,,,,430,bmw,"150,000km",0,1995,"13,080,000 Rwf"
37,2011-03-24 21:47:07,station wagon,Manual,LPG,,52,audi,"150,000km",163,1997,"72,358,800 Rwf"
38,2011-03-22 11:57:49,compact car,Manual,gasoline,Yes,159,ford,"5,000km",0,1999,"384,000 Rwf"
39,2011-04-05 00:36:24,sedan,Automatic,diesel,,393,bmw,"150,000km",204,2006,"241,198,800 Rwf"
40,2011-03-30 18:47:42,compact car,Manual,diesel,,137,fiat,"150,000km",85,1996,"660,000 Rwf"
41,2011-03-21 18:37:36,sedan,Manual,gasoline,,687,seat,"125,000km",75,2001,"36,478,800 Rwf"
42,2011-03-21 13:59:17,station wagon,Manual,gasoline,,213,audi,"150,000km",116,1987,"12,240,000 Rwf"
43,2011-03-24 00:32:33,compact car,Manual,gasoline,,395,volkswagen,"150,000km",75,1991,"1,198,800 Rwf"
44,2011-03-23 17:51:11,station wagon,Manual,diesel,,102,volkswagen,"60,000km",140,2008,"216,840,000 Rwf"
