Day,Season,Month,Holiday,Week Day,Working Day
2011-01-01,Winter,1,No,6,No
2011-01-02,Winter,1,No,0,No
2011-01-03,Winter,1,No,1,Yes
2011-01-04,Winter,1,No,2,Yes
2011-01-05,Winter,1,No,3,Yes
2011-01-06,Winter,1,No,4,Yes
2011-01-07,Winter,1,No,5,Yes
2011-01-08,Winter,1,No,6,No
2011-01-09,Winter,1,No,0,No
2011-01-10,Winter,1,No,1,Yes
2011-01-11,Winter,1,No,2,Yes
2011-01-12,Winter,1,No,3,Yes
2011-01-13,Winter,1,No,4,Yes
2011-01-14,Winter,1,No,5,Yes
2011-01-15,Winter,1,No,6,No
2011-01-16,Winter,1,No,0,No
2011-01-17,Winter,1,Yes,1,No
2011-01-18,Winter,1,No,2,Yes
2011-01-19,Winter,1,No,3,Yes
2011-01-20,Winter,1,No,4,Yes
2011-01-21,Winter,1,No,5,Yes
2011-01-22,Winter,1,No,6,No
2011-01-23,Winter,1,No,0,No
2011-01-24,Winter,1,No,1,Yes
2011-01-25,Winter,1,No,2,Yes
2011-01-26,Winter,1,No,3,Yes
2011-01-27,Winter,1,No,4,Yes
2011-01-28,Winter,1,No,5,Yes
2011-01-29,Winter,1,No,6,No
2011-01-30,Winter,1,No,0,No
2011-01-31,Winter,1,No,1,Yes
2011-02-01,Winter,2,No,2,Yes
2011-02-02,Winter,2,No,3,Yes
2011-02-03,Winter,2,No,4,Yes
2011-02-04,Winter,2,No,5,Yes
2011-02-05,Winter,2,No,6,No
2011-02-06,Winter,2,No,0,No
2011-02-07,Winter,2,No,1,Yes
2011-02-08,Winter,2,No,2,Yes
2011-02-09,Winter,2,No,3,Yes
2011-02-10,Winter,2,No,4,Yes
2011-02-11,Winter,2,No,5,Yes
2011-02-12,Winter,2,No,6,No
2011-02-13,Winter,2,No,0,No
2011-02-14,Winter,2,No,1,Yes
2011-02-15,Winter,2,No,2,Yes
2011-02-16,Winter,2,No,3,Yes
2011-02-17,Winter,2,No,4,Yes
2011-02-18,Winter,2,No,5,Yes
2011-02-19,Winter,2,No,6,No
2011-02-20,Winter,2,No,0,No
2011-02-21,Winter,2,Yes,1,No
2011-02-22,Winter,2,No,2,Yes
2011-02-23,Winter,2,No,3,Yes
2011-02-24,Winter,2,No,4,Yes
2011-02-25,Winter,2,No,5,Yes
2011-02-26,Winter,2,No,6,No
2011-02-27,Winter,2,No,0,No
2011-02-28,Winter,2,No,1,Yes
